Date,Close,High,Low,Open,Volume,RSI,BB_upper,BB_lower,BB_position,MACD,MACD_signal,MACD_diff,CCI,ADX,DI_plus,DI_minus,Stoch_k,Stoch_d,Returns,Volatility,Market_Returns,Beta,Market_Correlation,Turbulence
2019-02-20,256.06781005859375,259.6711955391235,255.529378959122,258.44935459209466,20464,17.037983039331777,319.81373653573155,241.78559512930747,0.1830392813651002,-16.106123559811635,-14.353510753319414,-1.7526128064922215,-95.2109156968854,29.502897853756995,17.878495744360656,30.027012454349233,5.9461979675308845,4.834330972007386,0.0007283484499129855,0.011089975069896611,0.012362906803977669,0.020811291286788467,0.014640630481415685,1.0
2019-02-21,275.9278564453125,287.8148764139934,261.7628371031077,261.7628371031077,210314,43.098049009537846,315.2236021446262,242.72885757217065,0.4579504220469497,-14.25414530218194,-14.333637663091919,0.07949236090997935,-22.305637289022602,28.669535694757375,33.535938867848024,23.38382745956545,40.71781321124261,17.427968333442816,0.07755776246211643,0.022538627293650013,0.005067269008080633,0.3948584884279807,0.13485430902289963,1.0
2019-02-22,273.7740783691406,287.0278915428358,270.8748067373948,276.2591683392085,96304,41.57290125654606,310.5939937510845,243.75922280164983,0.44909042316011233,-12.812536140005136,-14.029417358474564,1.2168812184694282,-7.836123044689438,27.89569940425773,29.91002446459159,20.85556197330556,51.85738721723915,32.84046613200422,-0.0078055840534488885,0.02253551289078535,0.00016689586186968697,0.3996374329263439,0.1362963728188837,1.0
2019-02-25,269.73583984375,275.38943032239087,269.21811270393476,273.8569529326086,27370,38.80043301441749,305.8190358364764,244.7734080111798,0.4089143272309183,-11.859197150125624,-13.595373316804777,1.7361761666791526,-28.82158789690411,26.983690791168282,28.63614386735579,21.11065730854284,46.318082679297426,46.29776103592639,-0.014750258861051524,0.02261933707330066,0.008196078963680797,0.32086274190737724,0.11012793620463207,1.0
2019-02-26,270.2121276855469,280.3802824800691,264.24790161252935,269.21808158016313,78728,39.31448084312947,301.3168217793836,245.94560192667115,0.43825160116437273,-10.93913712053103,-13.064126077550029,2.1249889570189993,-22.009071103511047,26.557488943111604,28.88246478695579,18.850493435746223,49.91147756011864,49.36231581888507,0.0017657566086610732,0.02263799181425939,-0.004117591409631749,0.24641654944567928,0.08018825423152201,1.0
2019-02-27,272.2831115722656,278.537246322061,268.3897927385807,271.28906519100366,140560,41.61104096962701,296.9665295293375,247.45875123238133,0.5014234367574225,-9.928423144893543,-12.436985491018731,2.5085623461251885,-5.805924792318909,26.16173008420183,26.929435680705478,17.575825133759064,55.80445055443914,50.678003597951744,0.007664289180716599,0.02280633161776277,-0.002644081343287419,0.1951682117305936,0.06331733054710086,1.0
2019-02-28,270.3778381347656,277.5017692061362,269.21813430446053,275.4308604807173,113756,40.10727190231308,292.9020744627354,248.87244335953017,0.4884300466844002,-9.175396422301333,-11.784667677275253,2.6092712549739208,-1.8786839707320133,25.79423971521419,25.418411453245792,16.58963671490063,50.383005710764955,52.032977941774256,-0.006997398503705288,0.022739746745883162,-0.0013094150466157473,0.19348246926563598,0.0630609609823997,1.0
2019-03-01,277.8124084472656,279.57268088245144,271.2890458933417,272.2209548296166,73952,48.003661578909764,289.56260031664493,250.54898415601127,0.6988181812985659,-7.887784162608796,-11.005290974341962,3.1175068117331666,41.11896193504502,25.648837904036675,25.236383606537217,15.546851948099116,71.53803369379499,59.24182998633304,0.02749696633344012,0.023803641526086838,0.006578642575862936,0.5780534776122687,0.15883333964980068,1.0
2019-03-05,283.7766418457031,287.8563220535962,276.6527105461449,279.15850512823573,62394,53.32061705514166,287.5043834464583,251.7643390877214,0.8956984618335009,-6.313302557987356,-10.066893291071043,3.753590733083687,114.95250208043464,26.222222644053783,28.947224761514157,14.362234225427105,88.40496733719111,70.10866891391703,0.021468563739728053,0.024365748227283518,0.011409784628572783,0.8394091786319138,0.23789064647144156,1.0
2019-03-06,285.5576171875,291.5839566910226,283.75591137822533,285.7854120977352,39576,54.806730564913394,287.44246536832446,251.79934066194895,0.9471188848802776,-4.865715774303112,-9.026657787717458,4.1609420134143456,156.99532993515987,27.03558563738579,29.95970903996088,13.583435281246384,84.51304480739115,81.48534861279242,0.006275975817506607,0.02391897938233789,0.005965879573721855,0.8797303234773508,0.25785908335266666,1.0
2019-03-07,281.1051330566406,289.01599364584854,279.57265566595,289.01599364584854,23538,50.479857514871966,287.7182906226819,251.68711709216183,0.8164601116741422,-4.031300751664048,-8.027586380506776,3.9962856288427275,119.12295909860399,27.133513547590088,27.988045497219872,15.604808211985546,73.07070535902216,81.99623916786815,-0.015592244306814718,0.023634815397538506,0.00047047817900125466,0.9181987120839263,0.2720880817008919,1.0
2019-03-08,275.4308166503906,281.5399964182,274.0018848013133,281.2293601588199,26264,45.544977461386146,287.97112060195735,251.69108032577702,0.6543470223267622,-3.784268059762667,-7.178922716357954,3.3946546565952875,57.52053582127283,26.421771978745067,26.489432213034213,18.726286048217766,58.48840645586353,72.02405220742561,-0.0201857445452861,0.023460798943734176,-0.0020618006804727917,1.4674321017971865,0.4072962805290866,1.0
2019-03-11,281.00152587890625,282.03697993161086,275.49291537444566,278.2679120119821,26066,50.64605556908905,289.14908594280223,251.58169713825248,0.783121469892812,-3.1032113050322323,-6.363780434092811,3.2605691290605785,75.51910494692932,25.810200054786474,25.577078821634625,17.82548321848583,72.4229104163883,67.99400741042466,0.020225439172939952,0.023723460430397806,0.012020353532001593,1.4902565202541025,0.44315500480846737,1.0
2019-03-12,286.5723876953125,290.300023767362,285.55763726421344,287.4421593335974,62036,55.168789846592425,291.28517665952387,251.18103427797618,0.8824862299915489,-2.089856365914386,-5.508995620457126,3.41913925454274,132.67137612231951,26.00445309195168,29.87814621028045,16.614044020043515,86.10004800784027,72.33712162669737,0.019825023365912076,0.023991348819692084,0.011922438828049886,1.658963626652266,0.4784669624401429,1.0
